sl_Без опыта работы,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
1,M,67.00,Прочее,91.00,Прочее,Продажи и маркетинг,58.00,Наука и техника,Без опыта работы,55,Mkt&HR,58.8,Placed,270000
2,M,79.33,Центральный регион,78.33,Прочее,Наука,77.48,Наука и техника,С опытом работы,86.5,Mkt&Жin,66.28,Placed,200000
3,M,65.00,Центральный регион,68.00,Центральный регион,Искусство,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,75,Mkt&Жin,57.8,Placed,250000
4,M,56.00,Центральный регион,52.00,Центральный регион,Наука,52.00,Наука и техника,Без опыта работы,66,Mkt&HR,59.43,Без опыта работыt Placed,
5,M,85.80,Центральный регион,73.60,Центральный регион,Продажи и маркетинг,73.30,Продажи, маркетинг и менеджмент,Без опыта работы,96.8,Mkt&Жin,55.5,Placed,425000
6,M,55.00,Прочее,49.80,Прочее,Наука,67.25,Наука и техника,С опытом работы,55,Mkt&Жin,51.58,Без опыта работыt Placed,
7,Ж,46.00,Прочее,49.20,Прочее,Продажи и маркетинг,79.00,Продажи, маркетинг и менеджмент,Без опыта работы,74.28,Mkt&Жin,53.29,Без опыта работыt Placed,
8,M,82.00,Центральный регион,64.00,Центральный регион,Наука,66.00,Наука и техника,С опытом работы,67,Mkt&Жin,62.14,Placed,252000
9,M,73.00,Центральный регион,79.00,Центральный регион,Продажи и маркетинг,72.00,Продажи, маркетинг и менеджмент,Без опыта работы,91.34,Mkt&Жin,61.29,Placed,231000
10,M,58.00,Центральный регион,70.00,Центральный регион,Продажи и маркетинг,61.00,Продажи, маркетинг и менеджмент,Без опыта работы,54,Mkt&Жin,52.21,Без опыта работыt Placed,
11,M,58.00,Центральный регион,61.00,Центральный регион,Продажи и маркетинг,60.00,Продажи, маркетинг и менеджмент,С опытом работы,62,Mkt&HR,60.85,Placed,260000
12,M,69.60,Центральный регион,68.40,Центральный регион,Продажи и маркетинг,78.30,Продажи, маркетинг и менеджмент,С опытом работы,60,Mkt&Жin,63.7,Placed,250000
13,Ж,47.00,Центральный регион,55.00,Прочее,Наука,65.00,Продажи, маркетинг и менеджмент,Без опыта работы,62,Mkt&HR,65.04,Без опыта работыt Placed,
14,Ж,77.00,Центральный регион,87.00,Центральный регион,Продажи и маркетинг,59.00,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&Жin,68.63,Placed,218000
15,M,62.00,Центральный регион,47.00,Центральный регион,Продажи и маркетинг,50.00,Продажи, маркетинг и менеджмент,Без опыта работы,76,Mkt&HR,54.96,Без опыта работыt Placed,
16,Ж,65.00,Центральный регион,75.00,Центральный регион,Продажи и маркетинг,69.00,Продажи, маркетинг и менеджмент,С опытом работы,72,Mkt&Жin,64.66,Placed,200000
17,M,63.00,Центральный регион,66.20,Центральный регион,Продажи и маркетинг,65.60,Продажи, маркетинг и менеджмент,С опытом работы,60,Mkt&Жin,62.54,Placed,300000
18,Ж,55.00,Центральный регион,67.00,Центральный регион,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,60,Mkt&Жin,67.28,Без опыта работыt Placed,
19,Ж,63.00,Центральный регион,66.00,Центральный регион,Продажи и маркетинг,64.00,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&HR,64.08,Без опыта работыt Placed,
20,M,60.00,Прочее,67.00,Прочее,Искусство,70.00,Продажи, маркетинг и менеджмент,С опытом работы,50.48,Mkt&Жin,77.89,Placed,236000
21,M,62.00,Прочее,65.00,Прочее,Продажи и маркетинг,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,50,Mkt&HR,56.7,Placed,265000
22,Ж,79.00,Прочее,76.00,Прочее,Продажи и маркетинг,85.00,Продажи, маркетинг и менеджмент,Без опыта работы,95,Mkt&Жin,69.06,Placed,393000
23,Ж,69.80,Прочее,60.80,Прочее,Наука,72.23,Наука и техника,Без опыта работы,55.53,Mkt&HR,68.81,Placed,360000
24,Ж,77.40,Прочее,60.00,Прочее,Наука,64.74,Наука и техника,С опытом работы,92,Mkt&Жin,63.62,Placed,300000
25,M,76.50,Прочее,97.70,Прочее,Наука,78.86,Наука и техника,Без опыта работы,97.4,Mkt&Жin,74.01,Placed,360000
26,Ж,52.58,Прочее,54.60,Центральный регион,Продажи и маркетинг,50.20,Продажи, маркетинг и менеджмент,С опытом работы,76,Mkt&Жin,65.33,Без опыта работыt Placed,
27,M,71.00,Прочее,79.00,Прочее,Продажи и маркетинг,66.00,Продажи, маркетинг и менеджмент,С опытом работы,94,Mkt&Жin,57.55,Placed,240000
28,M,63.00,Прочее,67.00,Прочее,Продажи и маркетинг,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,68,Mkt&HR,57.69,Placed,265000
29,M,76.76,Прочее,76.50,Прочее,Продажи и маркетинг,67.50,Продажи, маркетинг и менеджмент,С опытом работы,73.35,Mkt&Жin,64.15,Placed,350000
30,M,62.00,Центральный регион,67.00,Центральный регион,Продажи и маркетинг,58.00,Продажи, маркетинг и менеджмент,Без опыта работы,77,Mkt&Жin,51.29,Без опыта работыt Placed,
31,Ж,64.00,Центральный регион,73.50,Центральный регион,Продажи и маркетинг,73.00,Продажи, маркетинг и менеджмент,Без опыта работы,52,Mkt&HR,56.7,Placed,250000
32,Ж,67.00,Центральный регион,53.00,Центральный регион,Наука,65.00,Наука и техника,Без опыта работы,64,Mkt&HR,58.32,Без опыта работыt Placed,
33,Ж,61.00,Центральный регион,81.00,Центральный регион,Продажи и маркетинг,66.40,Продажи, маркетинг и менеджмент,Без опыта работы,50.89,Mkt&HR,62.21,Placed,278000
34,Ж,87.00,Прочее,65.00,Прочее,Наука,81.00,Продажи, маркетинг и менеджмент,С опытом работы,88,Mkt&Жin,72.78,Placed,260000
35,M,62.00,Прочее,51.00,Прочее,Наука,52.00,Прочее,Без опыта работы,68.44,Mkt&HR,62.77,Без опыта работыt Placed,
36,Ж,69.00,Центральный регион,78.00,Центральный регион,Продажи и маркетинг,72.00,Продажи, маркетинг и менеджмент,Без опыта работы,71,Mkt&HR,62.74,Placed,300000
37,M,51.00,Центральный регион,44.00,Центральный регион,Продажи и маркетинг,57.00,Продажи, маркетинг и менеджмент,Без опыта работы,64,Mkt&Жin,51.45,Без опыта работыt Placed,
38,Ж,79.00,Центральный регион,76.00,Центральный регион,Наука,65.60,Наука и техника,Без опыта работы,58,Mkt&HR,55.47,Placed,320000
39,Ж,73.00,Прочее,58.00,Прочее,Наука,66.00,Продажи, маркетинг и менеджмент,Без опыта работы,53.7,Mkt&HR,56.86,Placed,240000
40,M,81.00,Прочее,68.00,Прочее,Наука,64.00,Наука и техника,Без опыта работы,93,Mkt&Жin,62.56,Placed,411000
41,Ж,78.00,Центральный регион,77.00,Прочее,Продажи и маркетинг,80.00,Продажи, маркетинг и менеджмент,Без опыта работы,60,Mkt&Жin,66.72,Placed,287000
42,Ж,74.00,Прочее,63.16,Прочее,Продажи и маркетинг,65.00,Продажи, маркетинг и менеджмент,С опытом работы,65,Mkt&HR,69.76,Без опыта работыt Placed,
43,M,49.00,Прочее,39.00,Центральный регион,Наука,65.00,Прочее,Без опыта работы,63,Mkt&Жin,51.21,Без опыта работыt Placed,
