,ID,Пол,Опыт работы,Индустрия,Специальность,РШО,РВУЗ
0,1,M,Без опыта работы,Наука и техника,Продажи и маркетинг,Прочее,Прочее
1,2,M,С опытом работы,Наука и техника,Наука,Центральный регион,Прочее
2,3,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Центральный регион,Центральный регион
3,4,M,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
4,5,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
5,6,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
6,7,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
7,8,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
8,9,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
9,10,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
10,11,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
11,12,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
12,13,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
13,14,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
14,15,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
15,16,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
16,17,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
17,18,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
18,19,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
19,20,M,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Прочее,Прочее
21,22,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
22,23,Ж,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
23,24,Ж,С опытом работы,Наука и техника,Наука,Прочее,Прочее
24,25,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
25,26,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Центральный регион
26,27,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
27,28,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
28,29,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
29,30,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
30,31,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
31,32,Ж,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
32,33,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
33,34,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
34,35,M,Без опыта работы,Прочее,Наука,Прочее,Прочее
35,36,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
36,37,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
37,38,Ж,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
38,39,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
39,40,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
40,41,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
41,42,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
42,43,M,Без опыта работы,Прочее,Наука,Прочее,Центральный регион
43,44,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
44,45,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
45,46,Ж,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
46,47,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
47,48,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
48,49,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
49,50,Ж,Без опыта работы,Прочее,Искусство и дизайн,Прочее,Прочее
50,51,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Центральный регион
51,52,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
52,53,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
53,54,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
54,55,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
55,56,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
56,57,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
57,58,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
58,59,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
59,60,M,Без опыта работы,Наука и техника,Наука,Центральный регион,Прочее
60,61,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Центральный регион
61,62,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
62,63,Ж,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
63,64,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
64,65,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
65,66,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
66,67,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
67,68,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
68,69,Ж,Без опыта работы,Наука и техника,Продажи и маркетинг,Центральный регион,Центральный регион
69,70,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
70,71,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
71,72,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
72,73,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
73,74,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
74,75,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
75,76,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
76,77,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Прочее,Центральный регион
77,78,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
78,79,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
79,80,Ж,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
80,81,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
81,82,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
82,83,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
83,84,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
85,86,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
86,87,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
87,88,M,Без опыта работы,Прочее,Наука,Центральный регион,Центральный регион
88,89,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
89,90,Ж,С опытом работы,Наука и техника,Наука,Прочее,Прочее
90,91,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
91,92,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
92,93,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Центральный регион
93,94,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
94,95,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
95,96,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
96,97,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Центральный регион
97,98,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
98,99,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
100,101,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
101,102,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
102,103,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
103,104,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
104,105,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
105,106,M,Без опыта работы,Наука и техника,Наука,Центральный регион,Прочее
106,107,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
107,108,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
108,109,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
109,110,M,С опытом работы,Наука и техника,Наука,Центральный регион,Прочее
110,111,Ж,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
111,112,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
112,113,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
113,114,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
114,115,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
115,116,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
116,117,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
117,118,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
118,119,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
119,120,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
120,121,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
121,122,Ж,С опытом работы,Наука и техника,Наука,Центральный регион,Прочее
122,123,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Центральный регион,Центральный регион
123,124,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
124,125,M,С опытом работы,Прочее,Наука,Центральный регион,Центральный регион
125,126,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
126,127,Ж,С опытом работы,Наука и техника,Наука,Прочее,Прочее
127,128,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Прочее
128,129,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
129,130,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
130,131,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
131,132,Ж,С опытом работы,Прочее,Наука,Прочее,Прочее
132,133,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
133,134,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
134,135,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
135,136,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
136,137,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Центральный регион,Центральный регион
137,138,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Центральный регион
138,139,Ж,С опытом работы,Наука и техника,Наука,Прочее,Прочее
139,140,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
140,141,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
141,142,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Центральный регион
142,143,M,С опытом работы,Наука и техника,Наука,Центральный регион,Прочее
143,144,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
144,145,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Прочее,Прочее
145,146,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
146,147,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
147,148,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
148,149,Ж,Без опыта работы,Прочее,Искусство и дизайн,Центральный регион,Центральный регион
149,150,M,С опытом работы,"Продажи, маркетинг и менеджмент",Искусство и дизайн,Центральный регион,Центральный регион
150,151,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
151,152,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
152,153,Ж,Без опыта работы,Наука и техника,Наука,Прочее,Центральный регион
153,154,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
154,155,M,С опытом работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
155,156,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
156,157,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
157,158,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
158,159,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
159,160,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
160,161,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
161,162,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
162,163,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
163,164,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
164,165,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
165,166,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
166,167,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
167,168,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
168,169,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
169,170,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
170,171,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
171,172,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
172,173,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
173,174,Ж,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
174,175,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
175,176,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
176,177,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
177,178,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
178,179,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
179,180,Ж,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
180,181,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
181,182,M,Без опыта работы,Наука и техника,Наука,Центральный регион,Прочее
182,183,M,С опытом работы,Прочее,Искусство и дизайн,Прочее,Прочее
183,184,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
184,185,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
185,186,Ж,Без опыта работы,Прочее,Наука,Центральный регион,Центральный регион
186,187,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
187,188,M,С опытом работы,Наука и техника,Наука,Центральный регион,Центральный регион
188,189,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
189,190,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
191,192,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Прочее,Центральный регион
192,193,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
193,194,Ж,С опытом работы,Прочее,Искусство и дизайн,Центральный регион,Центральный регион
194,195,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
195,196,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
196,197,M,С опытом работы,Наука и техника,Наука,Прочее,Прочее
197,198,Ж,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
198,199,Ж,Без опыта работы,Прочее,Продажи и маркетинг,Центральный регион,Центральный регион
199,200,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
200,201,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
201,202,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
202,203,M,Без опыта работы,Наука и техника,Наука,Центральный регион,Центральный регион
203,204,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
204,205,Ж,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
205,206,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
206,207,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Центральный регион
207,208,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Прочее
208,209,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
209,210,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Центральный регион,Центральный регион
210,211,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
211,212,M,Без опыта работы,Наука и техника,Наука,Прочее,Прочее
212,213,M,С опытом работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
213,214,Ж,Без опыта работы,"Продажи, маркетинг и менеджмент",Продажи и маркетинг,Прочее,Прочее
214,215,M,Без опыта работы,"Продажи, маркетинг и менеджмент",Наука,Центральный регион,Прочее
