,ID,Пол,РШО,РВУЗ,Индустрия,Специализация,Опыт работы,Рабочая специализация,Статус успешности
3,4,M,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
5,6,M,Прочее,Прочее,Наука,Наука и техника,С опытом работы,Маркетинг и финансы,Успешен
6,7,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
9,10,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
12,13,Ж,Центральный регион,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
14,15,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
17,18,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
18,19,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
25,26,Ж,Прочее,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и финансы,Успешен
29,30,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
31,32,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
34,35,M,Прочее,Прочее,Наука,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
36,37,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
41,42,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",С опытом работы,Маркетинг и кадры,Успешен
42,43,M,Прочее,Центральный регион,Наука,Прочее,Без опыта работы,Маркетинг и финансы,Успешен
45,46,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
46,47,Ж,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
49,50,Ж,Прочее,Прочее,Искусство и дизайн,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
51,52,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
52,53,Ж,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
63,64,M,Прочее,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
65,66,M,Прочее,Прочее,Наука,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
68,69,Ж,Центральный регион,Центральный регион,Продажи и маркетинг,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
75,76,Ж,Центральный регион,Прочее,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и кадры,Успешен
79,80,Ж,Центральный регион,Центральный регион,Наука,Наука и техника,Без опыта работы,Маркетинг и кадры,Успешен
82,83,M,Центральный регион,Центральный регион,Продажи и маркетинг,"Продажи, маркетинг и менеджмент",Без опыта работы,Маркетинг и финансы,Успешен
87,88,M,Центральный регион,Центральный регион,Наука,Прочее,Без опыта работы,Маркетинг и кадры,Успешен
